Labels,EmScan2
Type,Emission Scan
Comment,
Start,470
Stop,700
Step,1
Fixed/Offset,455
Xaxis,Wavelength
Yaxis,Counts
Scan Corr. by File,TRUE
Corr. by Ref. Det.,TRUE
Fixed/Offset Corr. by File,FALSE
Repeats,1
Dwell Time,0.25
Lamp,Xenon
Temp,0
Scan Polariser,None
Scan Slit,1.4995272
Fixed/Offset Polariser,None
Fixed/Offset Slit,1.4995272
Detector,Detector 1
,
470,3.93E+03
471,4.39E+03
472,4.96E+03
473,5.66E+03
474,6.41E+03
475,7.30E+03
476,8.19E+03
477,9.20E+03
478,1.02E+04
479,1.11E+04
480,1.27E+04
481,1.39E+04
482,1.49E+04
483,1.64E+04
484,1.73E+04
485,1.87E+04
486,2.00E+04
487,2.11E+04
488,2.22E+04
489,2.28E+04
490,2.40E+04
491,2.58E+04
492,2.66E+04
493,2.80E+04
494,2.94E+04
495,3.05E+04
496,3.11E+04
497,3.16E+04
498,3.21E+04
499,3.28E+04
500,3.35E+04
501,3.43E+04
502,3.38E+04
503,3.45E+04
504,3.52E+04
505,3.56E+04
506,3.56E+04
507,3.64E+04
508,3.70E+04
509,3.75E+04
510,3.83E+04
511,3.82E+04
512,3.84E+04
513,3.79E+04
514,3.91E+04
515,3.86E+04
516,3.93E+04
517,3.91E+04
518,1.39E+05
519,3.93E+04
520,3.89E+04
521,3.88E+04
522,3.93E+04
523,3.90E+04
524,3.91E+04
525,3.91E+04
526,3.87E+04
527,3.77E+04
528,3.78E+04
529,3.75E+04
530,3.65E+04
531,3.67E+04
532,3.64E+04
533,3.53E+04
534,3.50E+04
535,3.49E+04
536,3.39E+04
537,3.41E+04
538,3.35E+04
539,3.33E+04
540,3.36E+04
541,3.35E+04
542,3.29E+04
543,3.20E+04
544,3.09E+04
545,3.04E+04
546,3.01E+04
547,2.91E+04
548,2.86E+04
549,2.80E+04
550,2.82E+04
551,2.77E+04
552,2.71E+04
553,2.65E+04
554,2.61E+04
555,2.56E+04
556,2.50E+04
557,2.45E+04
558,2.51E+04
559,2.41E+04
560,2.35E+04
561,2.29E+04
562,2.18E+04
563,2.15E+04
564,2.12E+04
565,2.07E+04
566,1.99E+04
567,1.93E+04
568,1.93E+04
569,1.85E+04
570,1.82E+04
571,1.79E+04
572,1.74E+04
573,1.71E+04
574,1.67E+04
575,1.59E+04
576,1.60E+04
577,1.56E+04
578,1.52E+04
579,1.49E+04
580,1.44E+04
581,1.41E+04
582,1.37E+04
583,1.29E+04
584,1.27E+04
585,1.24E+04
586,1.21E+04
587,1.15E+04
588,1.14E+04
589,1.12E+04
590,1.08E+04
591,1.07E+04
592,1.03E+04
593,1.03E+04
594,9.76E+03
595,9.66E+03
596,9.51E+03
597,9.18E+03
598,8.76E+03
599,8.66E+03
600,8.57E+03
601,7.85E+03
602,7.81E+03
603,7.60E+03
604,7.45E+03
605,7.49E+03
606,7.22E+03
607,6.80E+03
608,6.59E+03
609,6.72E+03
610,6.42E+03
611,6.28E+03
612,6.12E+03
613,6.05E+03
614,5.65E+03
615,5.83E+03
616,5.46E+03
617,5.56E+03
618,5.06E+03
619,5.42E+03
620,4.93E+03
621,4.48E+03
622,4.36E+03
623,4.38E+03
624,4.46E+03
625,4.26E+03
626,4.25E+03
627,3.85E+03
628,3.64E+03
629,3.90E+03
630,3.69E+03
631,3.50E+03
632,3.48E+03
633,3.42E+03
634,3.26E+03
635,3.32E+03
636,3.18E+03
637,3.14E+03
638,3.17E+03
639,2.68E+03
640,2.92E+03
641,2.73E+03
642,2.67E+03
643,2.65E+03
644,2.43E+03
645,2.19E+03
646,2.33E+03
647,2.17E+03
648,2.02E+03
649,2.12E+03
650,2.29E+03
651,2.09E+03
652,1.78E+03
653,1.93E+03
654,1.83E+03
655,1.76E+03
656,1.88E+03
657,1.91E+03
658,2.13E+03
659,1.88E+03
660,2.11E+03
661,1.77E+03
662,1.91E+03
663,1.63E+03
664,1.46E+03
665,1.43E+03
666,1.13E+03
667,1.12E+03
668,1.10E+03
669,1.11E+03
670,1.20E+03
671,1.19E+03
672,1.24E+03
673,1.16E+03
674,1.35E+03
675,1.12E+03
676,9.81E+02
677,8.34E+02
678,9.78E+02
679,8.79E+02
680,7.13E+02
681,7.34E+02
682,6.09E+02
683,7.49E+02
684,7.36E+02
685,6.92E+02
686,7.64E+02
687,4.06E+02
688,4.96E+02
689,6.67E+02
690,5.91E+02
691,3.56E+02
692,3.28E+02
693,4.09E+02
694,4.01E+02
695,1.79E+02
696,3.19E+02
697,3.53E+02
698,3.36E+02
699,4.25E+02
700,4.77E+02
